coverage,deployed_confidence,agreement_baseline,oracle
0.27,0.03009448093727419,0.018518518518518517,0.0
0.275,0.02954730855659648,0.01818181818181818,0.0
0.28,0.029019678046657255,0.017857142857142856,0.0
0.285,0.02851056088794397,0.017543859649122806,0.0
0.29,0.028018999493324245,0.017241379310344827,0.0
0.295,0.027544101196827226,0.01694915254237288,0.0
0.3,0.028936884695398624,0.016666666666666666,0.0
0.305,0.028462509536457663,0.01639344262295082,0.0
0.31,0.02800343680199867,0.016129032258064516,0.0
0.315,0.027558937805141546,0.015873015873015872,0.0
0.32,0.02712832940193621,0.015625,0.0
0.325,0.026710970488060266,0.01846153846153846,0.0
0.33,0.027989760497500432,0.01818181818181818,0.0
0.335,0.027572002878134754,0.01791044776119403,0.0
0.34,0.02716653224757395,0.01764705882352941,0.0
0.345,0.026772814388913456,0.017391304347826087,0.0
0.35,0.02639034561192898,0.03142857142857143,0.0
0.355,0.02601865060331026,0.03098591549295775,0.0
0.36,0.025657280456042063,0.030555555555555558,0.0
0.365,0.025305810860753817,0.030136986301369864,0.0
0.37,0.024963840443716603,0.02972972972972973,0.0
0.375,0.024630989237800383,0.029333333333333336,0.0
0.38,0.024306897274145114,0.042105263157894736,0.0
0.385,0.0239912232835718,0.04461420932009168,0.0
0.39,0.02368364349788498,0.0440422322775264,0.0
0.395,0.02338385054221555,0.043484735666418466,0.0
0.4,0.02309155241043786,0.04294117647058824,0.0
0.405,0.025549955741447538,0.042411038489469866,0.0
0.41,0.025238370915332327,0.04189383070301292,0.0
0.415,0.024934294157316274,0.04272777384045988,0.0
0.42,0.024637457322110128,0.04221910986616869,0.0
0.425,0.02434760488302648,0.04172241445597848,0.0
0.43,0.024064493198340125,0.04123727010183919,0.0
0.435,0.02378788982824426,0.04076327849147322,0.0
0.44,0.02351757289837785,0.04030005941770648,0.0
0.445,0.023253330506261244,0.03984724976132775,0.0
0.45,0.022994960167302785,0.039404502541757445,0.0
0.455,0.022742268297332426,0.03897148603030956,0.0
0.46,0.022495069728883158,0.03854788292128446,0.0
0.465,0.022253187258680116,0.038133389556539464,0.0
0.47,0.022016451224013304,0.037727715199555,0.0
0.475,0.021784699105865796,0.03733058135534916,0.0
0.48,0.0230458703949416,0.036941721132897606,0.0
0.485,0.02538560368983911,0.036560878646991445,0.0
0.49,0.02512656691749381,0.03618780845671602,0.0
0.495,0.0248727632112565,0.035822275037961315,0.0
0.5,0.024624035579143933,0.035464052287581704,0.0
0.505,0.024380233246677162,0.03511292305701159,0.0
0.51,0.024141211352101895,0.0347686787133154,0.0
0.515,0.023906830659363044,0.03443111872580748,0.0
0.52,0.023676957287638398,0.03410005027652087,0.0
0.525,0.02345146245632756,0.04036869448634155,0.0
0.53,0.0297614268888876,0.03998785774590436,0.0
0.535,0.02948328271235594,0.039614139449213666,0.0
0.54,0.0292102893539082,0.03924734186172095,0.0
0.545,0.028942305047909043,0.038887274505191395,0.0
0.55,0.028679193183837142,0.039832455126572776,0.0
0.555,0.028420822074072843,0.03947360417948654,0.0
0.56,0.028167064734125762,0.03912116128502684,0.0
0.565,0.02791779867453173,0.038774956317902703,0.0
0.57,0.027672905703702504,0.03843482512213163,0.0
0.575,0.027432271741061613,0.038100609251504394,0.0
0.58,0.03581647629501798,0.037772155723474185,0.0
0.585,0.035510352566000734,0.037449316785666716,0.0
0.59,0.035209417374763435,0.037131949694262756,0.0
0.595,0.03883510854528363,0.03681991650355467,0.0
0.6,0.0385114826407396,0.036513083866025045,0.0
0.605,0.038193205924700435,0.03621132284233889,0.0
0.61,0.03788014685974387,0.035914508720680374,0.0
0.615,0.037572178186087414,0.035622520844902486,0.0
0.62,0.03726917674910284,0.03533524245099198,0.0
0.625,0.03697102333511002,0.03505256051138404,0.0
