coverage,deployed_confidence,agreement_baseline,oracle
0.25,0.08157925436314184,0.02284313725490196,0.0
0.255,0.07997966114033513,0.03342464436755094,0.0
0.26,0.08084543688763637,0.03278186274509804,0.0
0.265,0.08993325883315267,0.03216333703292638,0.0
0.27,0.09355883340502551,0.031567719680464776,0.0
0.275,0.09185776370675232,0.030993761140819965,0.0
0.28,0.09708557836583505,0.03044030112044818,0.0
0.285,0.09857211526850779,0.029906260749914,0.0
0.29,0.09687259603974041,0.03111477349560514,0.0
0.295,0.09523068763228719,0.032470643624681515,0.0
0.3,0.0936435095050824,0.048596132897603485,0.0
0.305,0.09210837000499908,0.04779947498124933,0.0
0.31,0.09465500919846684,0.047028515707358214,0.0
0.315,0.09910492968738006,0.04628203133105094,0.0
0.32,0.09755641516101475,0.04555887459150327,0.0
0.325,0.09605554723546068,0.04485796882855707,0.0
0.33,0.10066076621674158,0.044178302634184985,0.0
0.335,0.10848672492992455,0.043518924982928496,0.0
0.34,0.10689133191624918,0.05758482314494425,0.0
0.345,0.10534218217833252,0.056750260490669696,0.0
0.35,0.10740872243292778,0.05736811391223156,0.0
0.355,0.1092762052155626,0.057499079443984163,0.0
0.36,0.10775848014312422,0.05796310738099954,0.0
0.365,0.10726081016073309,0.0571690922113968,0.0
0.37,0.10774184168365755,0.056396536911242794,0.0
0.375,0.10630528379454213,0.06897791641909289,0.0
0.38,0.1049065300604034,0.06807031225568377,0.0
0.385,0.10627821558935238,0.06718628222638917,0.0
0.39,0.10491567436384787,0.07914543245425598,0.0
0.395,0.10358762785291308,0.0781435915371135,0.0
0.4,0.10456550977747894,0.07716679664289958,0.0
0.405,0.10327457755800389,0.07621412014113539,0.0
0.41,0.10201513149022336,0.07528467965160934,0.0
0.415,0.10560531062889536,0.07437763531845742,0.0
0.42,0.10534016804204345,0.07349218727895199,0.0
0.425,0.10410087194743117,0.07262757331096431,0.0
0.43,0.10289039669222848,0.07178306664455775,0.0
0.435,0.10170774845438678,0.07095797392450537,0.0
0.44,0.10055197858558693,0.0701516333117269,0.0
0.445,0.09942218107338932,0.06936341271271873,0.0
0.45,0.09831749017257388,0.07970381923813297,0.0
0.455,0.0972370781926555,0.08039781180537484,0.0
0.46,0.09618015342969184,0.07952392254662076,0.0
0.465,0.09661223389134715,0.07866882660525924,0.0
0.47,0.09647096899179383,0.08847022206690541,0.0
0.475,0.09545548510766969,0.08753895657146431,0.0
0.48,0.09446115713779812,0.08662709244051155,0.0
0.485,0.09348733077555278,0.08745224269026572,0.0
0.49,0.0925333784207002,0.08655987286689566,0.0
0.495,0.09210374833564264,0.085685530716725,0.0
0.5,0.0951827108522862,0.08482867540955775,0.0
0.505,0.0988995972328984,0.0839887875342156,0.0
0.51,0.09868414115142957,0.0847993549766906,0.0
0.515,0.0977260426936487,0.08397606026817904,0.0
0.52,0.10228087470071526,0.08316859815021578,0.0
0.525,0.10511629494166083,0.09190032578688039,0.0
0.53,0.10412463178183384,0.09189097451444843,0.0
0.535,0.10315150438200361,0.09373207651794788,0.0
0.54,0.10219639785994802,0.09484831390468644,0.0
0.545,0.10125881622820539,0.09581300827253335,0.0
0.55,0.10116472781621344,0.09494198092460122,0.0
0.555,0.10175483537342472,0.09521277388924446,0.0
0.56,0.10084631005759058,0.09436265983666192,0.0
0.565,0.10030784713672694,0.09352759205049677,0.0
0.57,0.10137727147958216,0.0934381687284164,0.0
0.575,0.10679258156266824,0.09262566291338668,0.0
0.58,0.1065903466641395,0.0958839609511516,0.0
0.585,0.10618208326882005,0.09506443991738109,0.0
0.59,0.10709821573506491,0.09425880907062362,0.0
0.595,0.1061982307288879,0.09346671823809737,0.0003361344537815126
0.6,0.10531324547281383,0.09268782891944656,0.00075
0.605,0.10562352561648597,0.09192181380440981,0.001229946524064171
0.61,0.10475775901307215,0.09432094143400796,0.0017020250723240116
0.615,0.1039060699154049,0.09355410451178026,0.0022301928901641956
0.62,0.10575628978167852,0.1008641520560401,0.00278824432999006
0.625,0.10571023946342509,0.10005723883959178,0.003381322990734755
0.63,0.10487126930895345,0.09926313376943628,0.004015862755358553
0.635,0.10492040192156887,0.09848153429093678,0.004640409767783552
0.64,0.10462154461488994,0.09771214730428884,0.00525519823313941
0.645,0.10691130008299157,0.09953866812621942,0.005888541826209107
0.65,0.10685813623619933,0.0993647020400414,0.006542546049923582
0.655,0.10604242527256422,0.10165962797866704,0.00718656547632944
0.66,0.10523907356595388,0.10119250958488926,0.007889697556054218
0.665,0.10444780233613468,0.10726693364132549,0.008582256221046292
0.67,0.10410732268744535,0.11392912070370366,0.009264478189545948
0.675,0.10333615733420501,0.11493705314293548,0.010018897692668652
0.68,0.1025763326479241,0.1140919277521786,0.01076222279133367
0.685,0.10912687036582246,0.11325913995836709,0.011596075179718097
0.69,0.10833609594288171,0.11243842155287168,0.012500187941920404
0.695,0.11475094417350847,0.11198922427551289,0.013438007761454379
0.7,0.12107415171512628,0.11636171503807695,0.014362430154995009
0.705,0.12239768473624103,0.11819602911582108,0.015335144490882644
0.71,0.12153572920992947,0.117363662713597,0.01640085943578253
0.715,0.12068582900566423,0.1165429377995159,0.017451669276557943
0.72,0.11984773297090268,0.11851138962035258,0.01859310339143033
0.725,0.11902119688144817,0.11769406969193635,0.01971879358747689
0.73,0.12094570923157523,0.1168879459269231,0.02095359637112431
0.735,0.12125673615290239,0.1228955109206175,0.022243206707303557
0.74,0.120437433881599,0.1252447860853033,0.023540791217968496
0.745,0.11962912895621913,0.12562447330498705,0.02487422364081584
0.75,0.12549826809651102,0.12478697681628714,0.026189876964691883
0.755,0.12466715373825597,0.12516466691563743,0.02760583804439591
0.76,0.12384697509524113,0.12598595200171878,0.029068957530945936
0.765,0.12957346545409576,0.12889734167117534,0.03051295127257374
0.77,0.12873207931478345,0.1296187875044794,0.03193819184872586
0.775,0.1279015497708171,0.1335751639906256,0.03334504222389537
0.78,0.127081668041517,0.13573550419128902,0.0349627937847312
0.785,0.12839537291598715,0.1369940890902829,0.036559937045429
0.79,0.1275827439734809,0.13699009888315225,0.03815695572798255
0.795,0.12678033677867914,0.13667542229734078,0.03985214662083993
0.8,0.1322379596738124,0.1358212009079824,0.041686404037793015
